Flight Number,From,To,Departure Date,Departure Time,Arrival Time,Base Price,Total Seats
VJ402,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-10,14:00,22:30,1800000,216
VN102,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-10,10:00,16:00,1200000,216
VJ104,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-10,16:45,20:45,1200000,216
VJ302,HAN (Hà Nội),VII (Vinh),2026-04-10,09:15,17:15,800000,216
VU202,VII (Vinh),HAN (Hà Nội),2026-04-10,17:30,21:45,800000,216
VJ103,HAN (Hà Nội),HUI (Huế),2026-04-10,11:30,13:45,1100000,216
VJ112,HUI (Huế),HAN (Hà Nội),2026-04-10,18:00,20:45,1100000,216
VJ112,HAN (Hà Nội),PQC (Phú Quốc),2026-04-10,12:15,18:15,2100000,216
VJ104,PQC (Phú Quốc),HAN (Hà Nội),2026-04-10,16:15,22:00,2100000,216
QH106,HAN (Hà Nội),CXR (Nha Trang),2026-04-10,10:00,18:15,1500000,216
VU201,CXR (Nha Trang),HAN (Hà Nội),2026-04-10,17:00,21:15,1500000,216
VJ202,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-10,05:30,17:15,1250000,216
QH106,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-10,19:30,23:00,1250000,216
QH105,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-10,05:45,13:15,900000,216
VU107,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-10,17:15,20:00,900000,216
VU107,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-10,12:00,16:00,1000000,216
QH105,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-10,14:15,23:45,1000000,216
VN301,DAD (Đà Nẵng),HUI (Huế),2026-04-10,11:15,17:30,600000,216
QH106,HUI (Huế),DAD (Đà Nẵng),2026-04-10,14:30,20:15,600000,216
VJ103,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-10,11:00,16:30,850000,216
VJ112,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-10,17:30,21:45,850000,216
VJ202,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-11,07:00,15:15,1800000,216
VJ202,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-11,17:00,22:00,1800000,216
QH114,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-11,12:00,16:45,1200000,216
QH113,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-11,19:45,21:00,1200000,216
QH113,HAN (Hà Nội),VII (Vinh),2026-04-11,11:00,13:45,800000,216
VJ302,VII (Vinh),HAN (Hà Nội),2026-04-11,16:30,22:45,800000,216
VJ103,HAN (Hà Nội),HUI (Huế),2026-04-11,12:00,15:00,1100000,216
QH113,HUI (Huế),HAN (Hà Nội),2026-04-11,14:00,20:45,1100000,216
VN102,HAN (Hà Nội),PQC (Phú Quốc),2026-04-11,11:00,16:00,2100000,216
QH114,PQC (Phú Quốc),HAN (Hà Nội),2026-04-11,15:00,21:00,2100000,216
VN301,HAN (Hà Nội),CXR (Nha Trang),2026-04-11,06:30,16:15,1500000,216
QH113,CXR (Nha Trang),HAN (Hà Nội),2026-04-11,15:45,23:15,1500000,216
QH106,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-11,10:15,18:30,1250000,216
VJ302,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-11,18:45,21:15,1250000,216
QH114,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-11,09:00,14:00,900000,216
VN401,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-11,17:00,23:00,900000,216
VN111,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-11,11:45,17:30,1000000,216
VN102,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-11,19:30,23:15,1000000,216
VN401,DAD (Đà Nẵng),HUI (Huế),2026-04-11,10:45,14:45,600000,216
QH105,HUI (Huế),DAD (Đà Nẵng),2026-04-11,14:15,21:30,600000,216
VU202,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-11,06:15,14:00,850000,216
VJ104,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-11,15:45,22:00,850000,216
QH106,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-12,09:15,17:15,1800000,216
QH113,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-12,15:00,22:30,1800000,216
VU108,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-12,11:30,17:00,1200000,216
VJ302,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-12,15:15,21:45,1200000,216
QH114,HAN (Hà Nội),VII (Vinh),2026-04-12,05:30,18:30,800000,216
VJ103,VII (Vinh),HAN (Hà Nội),2026-04-12,16:45,21:30,800000,216
VN101,HAN (Hà Nội),HUI (Huế),2026-04-12,09:00,17:15,1100000,216
VJ402,HUI (Huế),HAN (Hà Nội),2026-04-12,14:45,20:00,1100000,216
VJ103,HAN (Hà Nội),PQC (Phú Quốc),2026-04-12,05:30,15:00,2100000,216
VJ112,PQC (Phú Quốc),HAN (Hà Nội),2026-04-12,15:00,20:30,2100000,216
QH106,HAN (Hà Nội),CXR (Nha Trang),2026-04-12,06:00,14:15,1500000,216
VJ402,CXR (Nha Trang),HAN (Hà Nội),2026-04-12,16:45,22:15,1500000,216
VJ202,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-12,08:15,15:15,1250000,216
QH105,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-12,17:00,21:00,1250000,216
VN102,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-12,07:00,16:45,900000,216
VJ202,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-12,18:30,23:00,900000,216
VN111,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-12,09:00,15:00,1000000,216
VN101,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-12,19:30,20:00,1000000,216
VJ202,DAD (Đà Nẵng),HUI (Huế),2026-04-12,07:15,17:15,600000,216
QH113,HUI (Huế),DAD (Đà Nẵng),2026-04-12,18:30,21:15,600000,216
VJ402,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-12,09:30,16:00,850000,216
VJ202,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-12,17:00,23:00,850000,216
VN101,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-13,12:30,16:15,1800000,216
VJ112,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-13,18:30,20:45,1800000,216
VJ103,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-13,12:15,16:30,1200000,216
VJ302,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-13,19:30,23:30,1200000,216
VJ202,HAN (Hà Nội),VII (Vinh),2026-04-13,12:45,13:45,800000,216
VU201,VII (Vinh),HAN (Hà Nội),2026-04-13,15:15,20:45,800000,216
VJ302,HAN (Hà Nội),HUI (Huế),2026-04-13,05:30,14:00,1100000,216
VN401,HUI (Huế),HAN (Hà Nội),2026-04-13,14:15,20:15,1100000,216
VJ402,HAN (Hà Nội),PQC (Phú Quốc),2026-04-13,11:30,16:00,2100000,216
VJ302,PQC (Phú Quốc),HAN (Hà Nội),2026-04-13,19:15,21:00,2100000,216
VU202,HAN (Hà Nội),CXR (Nha Trang),2026-04-13,06:30,15:00,1500000,216
VJ103,CXR (Nha Trang),HAN (Hà Nội),2026-04-13,18:00,21:45,1500000,216
VU201,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-13,07:00,13:15,1250000,216
VJ402,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-13,18:15,20:45,1250000,216
VJ104,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-13,09:30,16:00,900000,216
QH113,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-13,16:45,20:30,900000,216
VJ302,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-13,10:15,14:45,1000000,216
VN102,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-13,15:30,20:00,1000000,216
QH113,DAD (Đà Nẵng),HUI (Huế),2026-04-13,12:45,17:00,600000,216
VJ202,HUI (Huế),DAD (Đà Nẵng),2026-04-13,14:15,22:00,600000,216
VN401,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-13,11:30,15:00,850000,216
QH105,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-13,14:30,21:30,850000,216
QH105,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-14,07:15,18:15,1800000,216
VN301,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-14,14:45,22:45,1800000,216
VU202,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-14,05:00,15:30,1200000,216
VJ103,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-14,17:30,21:45,1200000,216
QH114,HAN (Hà Nội),VII (Vinh),2026-04-14,11:15,18:00,800000,216
QH106,VII (Vinh),HAN (Hà Nội),2026-04-14,19:00,20:00,800000,216
VJ103,HAN (Hà Nội),HUI (Huế),2026-04-14,06:30,17:30,1100000,216
QH114,HUI (Huế),HAN (Hà Nội),2026-04-14,16:30,20:15,1100000,216
QH114,HAN (Hà Nội),PQC (Phú Quốc),2026-04-14,06:45,16:45,2100000,216
VJ104,PQC (Phú Quốc),HAN (Hà Nội),2026-04-14,19:45,20:00,2100000,216
VJ302,HAN (Hà Nội),CXR (Nha Trang),2026-04-14,08:30,18:45,1500000,216
QH113,CXR (Nha Trang),HAN (Hà Nội),2026-04-14,17:00,20:15,1500000,216
VN102,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-14,07:15,15:00,1250000,216
VJ302,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-14,19:15,21:45,1250000,216
VU202,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-14,07:15,18:15,900000,216
VU107,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-14,15:15,20:00,900000,216
VU201,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-14,08:15,16:30,1000000,216
VJ104,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-14,18:00,20:45,1000000,216
VJ103,DAD (Đà Nẵng),HUI (Huế),2026-04-14,07:30,18:00,600000,216
QH114,HUI (Huế),DAD (Đà Nẵng),2026-04-14,14:15,20:30,600000,216
VN111,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-14,06:15,15:00,850000,216
QH106,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-14,18:15,22:15,850000,216
VU201,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-15,11:30,15:00,1800000,216
VU202,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-15,18:30,21:30,1800000,216
QH106,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-15,11:15,16:45,1200000,216
VJ104,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-15,15:15,20:30,1200000,216
VN101,HAN (Hà Nội),VII (Vinh),2026-04-15,05:15,17:00,800000,216
VN102,VII (Vinh),HAN (Hà Nội),2026-04-15,18:00,20:45,800000,216
VN111,HAN (Hà Nội),HUI (Huế),2026-04-15,12:00,14:45,1100000,216
VN102,HUI (Huế),HAN (Hà Nội),2026-04-15,19:15,23:45,1100000,216
VN401,HAN (Hà Nội),PQC (Phú Quốc),2026-04-15,12:45,17:00,2100000,216
QH106,PQC (Phú Quốc),HAN (Hà Nội),2026-04-15,15:45,22:15,2100000,216
VJ103,HAN (Hà Nội),CXR (Nha Trang),2026-04-15,05:15,17:00,1500000,216
VJ103,CXR (Nha Trang),HAN (Hà Nội),2026-04-15,18:30,20:45,1500000,216
QH114,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-15,11:00,15:30,1250000,216
VN201,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-15,17:00,22:30,1250000,216
VN301,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-15,11:30,13:30,900000,216
VN201,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-15,17:45,21:00,900000,216
VU108,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-15,09:45,13:15,1000000,216
VN102,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-15,18:00,23:30,1000000,216
VJ202,DAD (Đà Nẵng),HUI (Huế),2026-04-15,10:00,15:45,600000,216
QH114,HUI (Huế),DAD (Đà Nẵng),2026-04-15,16:30,20:15,600000,216
VU107,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-15,10:00,15:45,850000,216
VJ302,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-15,15:45,23:30,850000,216
VU202,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-16,08:30,16:00,1800000,216
VN101,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-16,19:00,21:30,1800000,216
VN111,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-16,08:15,14:45,1200000,216
VN201,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-16,19:45,20:00,1200000,216
VN101,HAN (Hà Nội),VII (Vinh),2026-04-16,11:00,17:15,800000,216
VN301,VII (Vinh),HAN (Hà Nội),2026-04-16,17:30,22:45,800000,216
VN102,HAN (Hà Nội),HUI (Huế),2026-04-16,05:15,14:00,1100000,216
VJ104,HUI (Huế),HAN (Hà Nội),2026-04-16,16:00,20:15,1100000,216
VN401,HAN (Hà Nội),PQC (Phú Quốc),2026-04-16,12:45,16:30,2100000,216
QH114,PQC (Phú Quốc),HAN (Hà Nội),2026-04-16,16:00,20:00,2100000,216
VJ104,HAN (Hà Nội),CXR (Nha Trang),2026-04-16,10:15,15:30,1500000,216
QH113,CXR (Nha Trang),HAN (Hà Nội),2026-04-16,17:30,20:45,1500000,216
VN102,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-16,11:45,13:15,1250000,216
VN111,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-16,17:15,20:00,1250000,216
QH106,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-16,12:30,14:30,900000,216
VJ112,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-16,16:00,22:00,900000,216
VU107,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-16,07:15,17:15,1000000,216
QH106,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-16,17:00,21:15,1000000,216
VN102,DAD (Đà Nẵng),HUI (Huế),2026-04-16,12:45,15:30,600000,216
VJ202,HUI (Huế),DAD (Đà Nẵng),2026-04-16,14:00,23:00,600000,216
VN101,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-16,07:15,17:00,850000,216
VJ302,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-16,17:30,21:00,850000,216
VU107,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-17,12:30,18:15,1800000,216
VJ202,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-17,16:30,21:00,1800000,216
VN201,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-17,09:00,14:30,1200000,216
QH114,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-17,18:00,23:00,1200000,216
VU107,HAN (Hà Nội),VII (Vinh),2026-04-17,07:15,17:15,800000,216
VJ202,VII (Vinh),HAN (Hà Nội),2026-04-17,16:15,22:00,800000,216
VN101,HAN (Hà Nội),HUI (Huế),2026-04-17,07:45,17:45,1100000,216
VN111,HUI (Huế),HAN (Hà Nội),2026-04-17,15:15,20:45,1100000,216
VN201,HAN (Hà Nội),PQC (Phú Quốc),2026-04-17,09:30,18:30,2100000,216
VN401,PQC (Phú Quốc),HAN (Hà Nội),2026-04-17,15:00,22:45,2100000,216
VN301,HAN (Hà Nội),CXR (Nha Trang),2026-04-17,09:30,16:15,1500000,216
QH113,CXR (Nha Trang),HAN (Hà Nội),2026-04-17,17:15,23:00,1500000,216
VU202,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-17,06:45,15:15,1250000,216
QH105,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-17,18:45,20:45,1250000,216
VJ112,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-17,06:15,13:30,900000,216
VN201,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-17,19:45,22:45,900000,216
VN102,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-17,08:15,18:15,1000000,216
VN102,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-17,16:00,22:30,1000000,216
VU107,DAD (Đà Nẵng),HUI (Huế),2026-04-17,06:00,15:45,600000,216
VN111,HUI (Huế),DAD (Đà Nẵng),2026-04-17,17:30,23:00,600000,216
VN301,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-17,06:45,18:45,850000,216
QH106,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-17,18:15,22:00,850000,216
VJ104,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-18,07:00,15:00,1800000,216
VJ103,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-18,15:00,23:15,1800000,216
VJ104,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-18,12:00,16:45,1200000,216
VJ103,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-18,14:00,23:30,1200000,216
QH114,HAN (Hà Nội),VII (Vinh),2026-04-18,06:00,16:00,800000,216
VJ302,VII (Vinh),HAN (Hà Nội),2026-04-18,16:00,20:15,800000,216
VJ103,HAN (Hà Nội),HUI (Huế),2026-04-18,09:45,15:30,1100000,216
VN101,HUI (Huế),HAN (Hà Nội),2026-04-18,17:45,20:15,1100000,216
VN111,HAN (Hà Nội),PQC (Phú Quốc),2026-04-18,08:15,18:30,2100000,216
VJ104,PQC (Phú Quốc),HAN (Hà Nội),2026-04-18,19:15,21:45,2100000,216
VN301,HAN (Hà Nội),CXR (Nha Trang),2026-04-18,10:45,13:00,1500000,216
VN111,CXR (Nha Trang),HAN (Hà Nội),2026-04-18,19:15,22:45,1500000,216
VJ103,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-18,06:15,15:30,1250000,216
VJ402,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-18,19:30,23:45,1250000,216
VJ103,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-18,10:30,14:15,900000,216
VN201,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-18,14:15,21:00,900000,216
VN201,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-18,07:30,13:45,1000000,216
VU107,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-18,19:00,23:45,1000000,216
VN201,DAD (Đà Nẵng),HUI (Huế),2026-04-18,10:45,13:45,600000,216
QH106,HUI (Huế),DAD (Đà Nẵng),2026-04-18,17:30,20:30,600000,216
QH105,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-18,11:00,13:15,850000,216
VN101,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-18,15:15,22:15,850000,216
VJ112,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-19,09:45,13:15,1800000,216
VJ402,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-19,16:45,20:30,1800000,216
VJ103,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-19,05:15,17:00,1200000,216
VN401,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-19,14:00,21:45,1200000,216
QH113,HAN (Hà Nội),VII (Vinh),2026-04-19,05:30,17:45,800000,216
QH106,VII (Vinh),HAN (Hà Nội),2026-04-19,17:15,20:30,800000,216
QH106,HAN (Hà Nội),HUI (Huế),2026-04-19,09:30,14:15,1100000,216
VJ202,HUI (Huế),HAN (Hà Nội),2026-04-19,14:45,22:30,1100000,216
VN301,HAN (Hà Nội),PQC (Phú Quốc),2026-04-19,06:15,17:00,2100000,216
VN401,PQC (Phú Quốc),HAN (Hà Nội),2026-04-19,15:00,23:45,2100000,216
VN401,HAN (Hà Nội),CXR (Nha Trang),2026-04-19,11:15,17:45,1500000,216
VN101,CXR (Nha Trang),HAN (Hà Nội),2026-04-19,14:45,20:30,1500000,216
VU107,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-19,10:45,13:00,1250000,216
VU201,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-19,15:15,23:00,1250000,216
QH106,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-19,12:00,15:30,900000,216
VU108,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-19,14:15,22:30,900000,216
VU108,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-19,11:15,13:30,1000000,216
VN102,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-19,19:15,22:45,1000000,216
VJ202,DAD (Đà Nẵng),HUI (Huế),2026-04-19,08:15,15:00,600000,216
VN111,HUI (Huế),DAD (Đà Nẵng),2026-04-19,16:45,20:15,600000,216
VN111,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-19,09:30,15:15,850000,216
VU107,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-19,15:30,21:45,850000,216
VN111,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-20,12:45,17:30,1800000,216
VJ202,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-20,18:15,22:45,1800000,216
VJ104,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-20,10:15,13:00,1200000,216
VN401,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-20,16:30,21:30,1200000,216
QH105,HAN (Hà Nội),VII (Vinh),2026-04-20,07:30,15:00,800000,216
VN111,VII (Vinh),HAN (Hà Nội),2026-04-20,16:00,20:30,800000,216
VJ202,HAN (Hà Nội),HUI (Huế),2026-04-20,08:15,16:00,1100000,216
VN102,HUI (Huế),HAN (Hà Nội),2026-04-20,15:45,20:00,1100000,216
QH113,HAN (Hà Nội),PQC (Phú Quốc),2026-04-20,09:30,14:45,2100000,216
VN102,PQC (Phú Quốc),HAN (Hà Nội),2026-04-20,19:00,22:30,2100000,216
VN102,HAN (Hà Nội),CXR (Nha Trang),2026-04-20,10:30,15:15,1500000,216
VN401,CXR (Nha Trang),HAN (Hà Nội),2026-04-20,16:45,20:30,1500000,216
VJ104,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-20,08:00,17:00,1250000,216
VJ302,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-20,14:00,23:00,1250000,216
VN401,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-20,07:00,18:15,900000,216
QH114,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-20,14:30,22:45,900000,216
VU201,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-20,08:30,15:30,1000000,216
VN201,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-20,17:30,21:15,1000000,216
VU108,DAD (Đà Nẵng),HUI (Huế),2026-04-20,12:00,15:45,600000,216
VU201,HUI (Huế),DAD (Đà Nẵng),2026-04-20,14:45,20:45,600000,216
VU108,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-20,12:00,18:45,850000,216
VU107,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-20,19:30,21:30,850000,216
VJ402,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-21,06:45,14:30,1800000,216
VN201,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-21,15:15,23:30,1800000,216
VJ103,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-21,09:30,18:00,1200000,216
VU202,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-21,18:15,21:30,1200000,216
VN401,HAN (Hà Nội),VII (Vinh),2026-04-21,07:45,14:45,800000,216
VJ402,VII (Vinh),HAN (Hà Nội),2026-04-21,16:45,20:00,800000,216
VN111,HAN (Hà Nội),HUI (Huế),2026-04-21,08:45,15:00,1100000,216
VU201,HUI (Huế),HAN (Hà Nội),2026-04-21,19:00,23:30,1100000,216
VJ103,HAN (Hà Nội),PQC (Phú Quốc),2026-04-21,05:30,15:15,2100000,216
VU107,PQC (Phú Quốc),HAN (Hà Nội),2026-04-21,19:15,22:30,2100000,216
VJ202,HAN (Hà Nội),CXR (Nha Trang),2026-04-21,05:15,15:00,1500000,216
QH113,CXR (Nha Trang),HAN (Hà Nội),2026-04-21,18:45,22:30,1500000,216
VN301,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-21,06:45,15:15,1250000,216
QH106,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-21,19:45,22:00,1250000,216
VU201,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-21,05:00,17:00,900000,216
QH113,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-21,18:45,21:15,900000,216
VU202,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-21,11:30,17:15,1000000,216
QH106,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-21,17:15,23:00,1000000,216
